section,code
Warm-up,"print(""Bonjour, world"")"
Warm-up,"print(""Bonjour,\nworld"")"
Warm-up,"print(Bonjour, world)"
Simple operations,3 + 10
Simple operations,3 = 10
Simple operations,3 == 10
Simple operations,2 ** 10
Simple operations,'3 + 10'
Simple operations,3 * '10'
Simple operations,a*10
Simple operations,'a' * 10
Simple operations,int('3') + int('10')
Simple operations,int('hello world')
Simple operations,10 / 5
Simple operations,int(10 / 5)
Simple operations,10 / 4
Simple operations,10 // 4
Simple operations,int(10/4)
Simple operations,int(10)/4
Simple operations,"type(""True"")"
Simple operations,type(True)
Conditionals,"a=3
if (a==3):
    print(""it's a three!"")"
Conditionals,"a=3
if a==3:
    print(""it's a four!"")"
Conditionals,"a=3
if a=4:
    print(""it's a four!"")"
Conditionals,"a=3
if a<10:
    print(""we're here"")
elif a<100:
    print( ""and also here"")"
Conditionals,"a=3
if a<10:
    print(""we're here"")
if a<100:
    print(""and also here"")"
Conditionals,"a = ""False""
if a:
    print(""we're in the 'if'"")
else:
    print(""we're in the 'else'"")"
Conditionals,"a = 5
b = 10
if a and b:
    print(""a is"", a)
    print(""b is"", b)"
Conditionals,"a = 5
b = 0
if a and b:
    print(""a is"", a)
    print(""b is"", b)"
Conditionals,"a = 5
b = 0
if a or b:
    print(""a is"", a)
    print(""b is"", b)"
Conditionals,"if None:
    print(""if"")
elif []:
    print(""elif"")
else:
    print(""else"")"
Conditionals,"n = 12
if n > 0:
    if n % 2 != 0:
        print(""if"")
    else:
        print(""else"")"
Conditionals,"x = 0
y = 10
if y and (y / x > 2):
    print(""if"")
else:
    print(""else"")"
Conditionals,"x = 0
y = 10
if x and (y / x > 2):
    print(""if"")
else:
    print(""else"")"
Lists,"animals = ['dog', 'cat', 'panda']
if panda in animals:
    print(""found it!"")"
Lists,"animals = ['dog', 'cat', 'panda']
if ""panda"" or ""giraffe"" in animals:
    print(""found it!"")"
Lists,"animals = ['dog', 'cat', 'panda']
if ""panda"" and ""giraffe"" in animals:
    print(""found it!"")"
Lists,"animals = ['dog', 'cat', 'panda']
if ['dog', 'cat'] in animals:
    print(""we're here"")"
